Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2013-01;RER;A;RER A;83.6;5.1
2013-01;Transilien;R;Paris Sud Est;87.2;6.8
2013-03;Transilien;H;Paris Nord Ouest;92.3;12.0
2013-04;Transilien;N;Paris Montparnasse;90.2;9.2
2013-05;RER;D;RER D;87.1;6.8
2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3
2013-06;Transilien;N;Paris Montparnasse;93.9;15.4
2013-06;Transilien;P;Paris Est;89.4;8.4
2013-08;Transilien;P;Paris Est;92.1;11.7
2013-09;RER;A;RER A;83.3;5.0
2013-09;Transilien;U;La Verrière - La Défense;92.9;13.1
2013-10;RER;C;RER C;85.6;5.9
2013-10;Transilien;J;Paris Saint-Lazare Nord;83.2;5.0
2013-11;RER;D;RER D;76.9;3.3
2013-11;Transilien;K;Paris Nord Crépy;77.7;3.5
2013-11;Transilien;P;Paris Est;82.8;4.8
2013-11;Transilien;R;Paris Sud Est;82.5;4.7
2013-12;RER;A;RER A;81.2;4.3
2013-12;RER;B;RER B;82.4;4.7
2013-12;RER;D;RER D;85.5;5.9
2013-12;Transilien;H;Paris Nord Ouest;94.7;17.9
2013-12;Transilien;L;Paris Saint-Lazare Sud;83.0;4.9
2013-12;Transilien;P;Paris Est;91.0;10.1
2014-01;RER;A;RER A;81.1;4.3
2014-01;RER;C;RER C;91.4;10.6
2014-01;Transilien;J;Paris Saint-Lazare Nord;82.0;4.6
2014-01;Transilien;K;Paris Nord Crépy;76.6;3.3
2014-01;Transilien;R;Paris Sud Est;89.7;8.7
2014-03;RER;D;RER D;87.9;7.3
2014-03;Transilien;R;Paris Sud Est;91.5;10.8
2014-05;RER;A;RER A;87.6;7.1
2014-05;RER;B;RER B;89.4;8.4
2014-05;Transilien;P;Paris Est;92.7;12.7
2014-07;Transilien;R;Paris Sud Est;89.7;8.7
2014-07;Transilien;U;La Verrière - La Défense;93.3;13.9
