code_stif_trns;code_stif_res;code_stif_arret;id_zdc;libelle_arret;cat_jour;trnc_horr_60;pourcentage_validations
100;110;1;71379;PORTE MAILLOT;DIJFP;10H-11H;5.31
100;110;1;71379;PORTE MAILLOT;DIJFP;11H-12H;5.99
100;110;1;71379;PORTE MAILLOT;DIJFP;17H-18H;7.61
100;110;1;71379;PORTE MAILLOT;DIJFP;20H-21H;5.15
100;110;1;71379;PORTE MAILLOT;DIJFP;23H-0H;3.97
100;110;1;71379;PORTE MAILLOT;DIJFP;6H-7H;1.2
100;110;1;71379;PORTE MAILLOT;JOHV;12H-13H;5.12
100;110;1;71379;PORTE MAILLOT;JOHV;14H-15H;4.96
100;110;1;71379;PORTE MAILLOT;JOHV;16H-17H;7.37
100;110;1;71379;PORTE MAILLOT;JOHV;1H-2H;0.12
100;110;1;71379;PORTE MAILLOT;JOHV;23H-0H;2.71
100;110;1;71379;PORTE MAILLOT;JOHV;5H-6H;0.53
100;110;1;71379;PORTE MAILLOT;JOHV;7H-8H;3.63
100;110;1;71379;PORTE MAILLOT;JOVS;0H-1H;1.53
100;110;1;71379;PORTE MAILLOT;JOVS;16H-17H;5.98
100;110;1;71379;PORTE MAILLOT;JOVS;17H-18H;9.25
100;110;1;71379;PORTE MAILLOT;JOVS;20H-21H;4.32
100;110;1;71379;PORTE MAILLOT;SAHV;0H-1H;2.21
100;110;1;71379;PORTE MAILLOT;SAHV;14H-15H;7.45
100;110;1;71379;PORTE MAILLOT;SAHV;15H-16H;8.34
100;110;1;71379;PORTE MAILLOT;SAHV;19H-20H;6.1
100;110;1;71379;PORTE MAILLOT;SAHV;20H-21H;3.91
100;110;1;71379;PORTE MAILLOT;SAHV;2H-3H;0.04
100;110;1;71379;PORTE MAILLOT;SAHV;6H-7H;0.81
100;110;1;71379;PORTE MAILLOT;SAHV;7H-8H;1.47
100;110;1;71379;PORTE MAILLOT;SAHV;9H-10H;4.23
100;110;1;71379;PORTE MAILLOT;SAVS;12H-13H;6.59
100;110;1;71379;PORTE MAILLOT;SAVS;14H-15H;6.83
100;110;1;71379;PORTE MAILLOT;SAVS;16H-17H;6.96
100;110;1;71379;PORTE MAILLOT;SAVS;18H-19H;6.96
100;110;1;71379;PORTE MAILLOT;SAVS;1H-2H;1.43
100;110;10;71030;ALESIA;DIJFP;10H-11H;6.14
100;110;10;71030;ALESIA;DIJFP;11H-12H;6.64
100;110;10;71030;ALESIA;DIJFP;18H-19H;7.24
100;110;10;71030;ALESIA;DIJFP;20H-21H;4.13
100;110;10;71030;ALESIA;DIJFP;22H-23H;2.47
100;110;10;71030;ALESIA;DIJFP;2H-3H;0.0
100;110;10;71030;ALESIA;DIJFP;3H-4H;0.0
100;110;10;71030;ALESIA;DIJFP;5H-6H;0.39
100;110;10;71030;ALESIA;DIJFP;6H-7H;1.21
100;110;10;71030;ALESIA;DIJFP;7H-8H;3.4
100;110;10;71030;ALESIA;DIJFP;8H-9H;6.9
100;110;10;71030;ALESIA;JOHV;16H-17H;6.64
100;110;10;71030;ALESIA;JOHV;2H-3H;0.0
100;110;10;71030;ALESIA;JOVS;15H-16H;5.78
100;110;10;71030;ALESIA;JOVS;2H-3H;0.0
100;110;10;71030;ALESIA;JOVS;5H-6H;0.49
100;110;10;71030;ALESIA;JOVS;8H-9H;11.21
100;110;10;71030;ALESIA;SAHV;11H-12H;6.56
100;110;10;71030;ALESIA;SAHV;1H-2H;0.68
100;110;10;71030;ALESIA;SAHV;21H-22H;3.37
100;110;10;71030;ALESIA;SAHV;6H-7H;0.86
100;110;10;71030;ALESIA;SAVS;14H-15H;7.51
100;110;10;71030;ALESIA;SAVS;16H-17H;7.63
100;110;10;71030;ALESIA;SAVS;17H-18H;7.57
100;110;10;71030;ALESIA;SAVS;20H-21H;5.37
100;110;10;71030;ALESIA;SAVS;23H-0H;1.9
100;110;10;71030;ALESIA;SAVS;6H-7H;1.19
100;110;100;70721;BOULOGNE-ST.CL;DIJFP;17H-18H;8.62
100;110;100;70721;BOULOGNE-ST.CL;DIJFP;1H-2H;0.07
100;110;100;70721;BOULOGNE-ST.CL;JOHV;14H-15H;4.02
100;110;100;70721;BOULOGNE-ST.CL;JOHV;17H-18H;9.93
100;110;100;70721;BOULOGNE-ST.CL;JOHV;19H-20H;7.11
100;110;100;70721;BOULOGNE-ST.CL;JOHV;2H-3H;0.01
100;110;100;70721;BOULOGNE-ST.CL;JOHV;7H-8H;7.67
100;110;100;70721;BOULOGNE-ST.CL;JOHV;8H-9H;15.16
100;110;100;70721;BOULOGNE-ST.CL;JOVS;17H-18H;10.25
100;110;100;70721;BOULOGNE-ST.CL;JOVS;23H-0H;3.15
100;110;100;70721;BOULOGNE-ST.CL;JOVS;2H-3H;0.01
100;110;100;70721;BOULOGNE-ST.CL;JOVS;8H-9H;11.65
100;110;100;70721;BOULOGNE-ST.CL;JOVS;9H-10H;7.98
100;110;100;70721;BOULOGNE-ST.CL;SAHV;14H-15H;7.75
100;110;100;70721;BOULOGNE-ST.CL;SAHV;21H-22H;2.56
100;110;100;70721;BOULOGNE-ST.CL;SAHV;4H-5H;0.01
100;110;100;70721;BOULOGNE-ST.CL;SAHV;7H-8H;2.87
100;110;100;70721;BOULOGNE-ST.CL;SAHV;8H-9H;4.18
100;110;100;70721;BOULOGNE-ST.CL;SAVS;10H-11H;5.44
100;110;100;70721;BOULOGNE-ST.CL;SAVS;13H-14H;5.85
100;110;100;70721;BOULOGNE-ST.CL;SAVS;6H-7H;1.46
100;110;100;70721;BOULOGNE-ST.CL;SAVS;7H-8H;2.11
100;110;1006;71557;OLYMPIADES;DIJFP;19H-20H;6.05
100;110;1006;71557;OLYMPIADES;DIJFP;2H-3H;0.01
100;110;1006;71557;OLYMPIADES;DIJFP;6H-7H;1.94
100;110;1006;71557;OLYMPIADES;DIJFP;9H-10H;5.76
100;110;1006;71557;OLYMPIADES;JOHV;16H-17H;8.97
100;110;1006;71557;OLYMPIADES;JOHV;17H-18H;11.38
100;110;1006;71557;OLYMPIADES;JOHV;19H-20H;6.55
100;110;1006;71557;OLYMPIADES;JOHV;4H-5H;0.0
100;110;1006;71557;OLYMPIADES;JOHV;7H-8H;4.9
100;110;1006;71557;OLYMPIADES;JOVS;6H-7H;2.83
100;110;1006;71557;OLYMPIADES;SAHV;0H-1H;1.25
100;110;1006;71557;OLYMPIADES;SAHV;17H-18H;8.14
100;110;1006;71557;OLYMPIADES;SAHV;22H-23H;2.55
100;110;1006;71557;OLYMPIADES;SAHV;2H-3H;0.01
100;110;1006;71557;OLYMPIADES;SAVS;17H-18H;7.91
100;110;1006;71557;OLYMPIADES;SAVS;19H-20H;6.23
100;110;1006;71557;OLYMPIADES;SAVS;6H-7H;1.78
100;110;1007;72240;LES AGNETTES;DIJFP;19H-20H;5.1
100;110;1007;72240;LES AGNETTES;DIJFP;23H-0H;0.97
100;110;1007;72240;LES AGNETTES;DIJFP;7H-8H;5.19
100;110;1007;72240;LES AGNETTES;DIJFP;9H-10H;7.1
100;110;1007;72240;LES AGNETTES;JOHV;13H-14H;4.78
100;110;1007;72240;LES AGNETTES;JOHV;22H-23H;1.1
100;110;1007;72240;LES AGNETTES;JOHV;23H-0H;0.69
100;110;1007;72240;LES AGNETTES;JOHV;8H-9H;17.4
100;110;1007;72240;LES AGNETTES;JOVS;11H-12H;4.9
100;110;1007;72240;LES AGNETTES;JOVS;13H-14H;4.75
100;110;1007;72240;LES AGNETTES;JOVS;16H-17H;5.39
100;110;1007;72240;LES AGNETTES;JOVS;1H-2H;0.03
100;110;1007;72240;LES AGNETTES;JOVS;21H-22H;1.67
100;110;1007;72240;LES AGNETTES;JOVS;5H-6H;2.05
100;110;1007;72240;LES AGNETTES;SAHV;14H-15H;8.01
100;110;1007;72240;LES AGNETTES;SAHV;15H-16H;7.22
100;110;1007;72240;LES AGNETTES;SAHV;17H-18H;6.98
100;110;1007;72240;LES AGNETTES;SAHV;22H-23H;1.8
100;110;1007;72240;LES AGNETTES;SAHV;7H-8H;4.07
100;110;1007;72240;LES AGNETTES;SAVS;13H-14H;6.73
100;110;1007;72240;LES AGNETTES;SAVS;19H-20H;5.41
100;110;1007;72240;LES AGNETTES;SAVS;21H-22H;2.55
100;110;1008;72286;LES COURTILLES;DIJFP;0H-1H;0.38
100;110;1008;72286;LES COURTILLES;DIJFP;12H-13H;6.33
100;110;1008;72286;LES COURTILLES;DIJFP;19H-20H;4.9
100;110;1008;72286;LES COURTILLES;DIJFP;21H-22H;2.52
100;110;1008;72286;LES COURTILLES;JOHV;13H-14H;4.42
100;110;1008;72286;LES COURTILLES;JOHV;17H-18H;6.87
100;110;1008;72286;LES COURTILLES;JOHV;1H-2H;0.03
100;110;1008;72286;LES COURTILLES;JOHV;23H-0H;0.64
100;110;1008;72286;LES COURTILLES;JOHV;4H-5H;0.01
100;110;1008;72286;LES COURTILLES;JOVS;18H-19H;6.48
100;110;1008;72286;LES COURTILLES;JOVS;21H-22H;1.84
100;110;1008;72286;LES COURTILLES;JOVS;22H-23H;1.29
100;110;1008;72286;LES COURTILLES;JOVS;4H-5H;0.0
100;110;1008;72286;LES COURTILLES;JOVS;7H-8H;8.75
100;110;1008;72286;LES COURTILLES;SAHV;18H-19H;5.93
100;110;1008;72286;LES COURTILLES;SAHV;22H-23H;1.57
100;110;1008;72286;LES COURTILLES;SAHV;5H-6H;1.7
100;110;1008;72286;LES COURTILLES;SAHV;7H-8H;5.02
100;110;1008;72286;LES COURTILLES;SAVS;11H-12H;7.11
100;110;1008;72286;LES COURTILLES;SAVS;16H-17H;6.83
100;110;1008;72286;LES COURTILLES;SAVS;19H-20H;4.87
100;110;1017;73848;FUNICULAIRE;DIJFP;10H-11H;6.26
100;110;1017;73848;FUNICULAIRE;DIJFP;15H-16H;8.33
100;110;1017;73848;FUNICULAIRE;DIJFP;17H-18H;7.95
100;110;1017;73848;FUNICULAIRE;DIJFP;5H-6H;0.03
100;110;1017;73848;FUNICULAIRE;DIJFP;7H-8H;0.76
100;110;1017;73848;FUNICULAIRE;DIJFP;9H-10H;3.96
100;110;1017;73848;FUNICULAIRE;JOHV;13H-14H;7.64
100;110;1017;73848;FUNICULAIRE;JOHV;15H-16H;8.28
100;110;1017;73848;FUNICULAIRE;JOHV;7H-8H;1.03
100;110;1017;73848;FUNICULAIRE;JOHV;9H-10H;3.73
100;110;1017;73848;FUNICULAIRE;JOVS;12H-13H;7.74
100;110;1017;73848;FUNICULAIRE;JOVS;16H-17H;8.93
100;110;1017;73848;FUNICULAIRE;JOVS;19H-20H;7.17
100;110;1017;73848;FUNICULAIRE;JOVS;9H-10H;3.33
100;110;1017;73848;FUNICULAIRE;SAHV;0H-1H;0.85
100;110;1017;73848;FUNICULAIRE;SAHV;14H-15H;7.63
100;110;1017;73848;FUNICULAIRE;SAHV;15H-16H;8.61
100;110;1017;73848;FUNICULAIRE;SAHV;16H-17H;8.57
100;110;1017;73848;FUNICULAIRE;SAHV;18H-19H;8.18
100;110;1017;73848;FUNICULAIRE;SAHV;19H-20H;7.65
100;110;1017;73848;FUNICULAIRE;SAHV;1H-2H;0.17
100;110;1017;73848;FUNICULAIRE;SAHV;9H-10H;3.65
100;110;1017;73848;FUNICULAIRE;SAVS;11H-12H;7.22
100;110;1017;73848;FUNICULAIRE;SAVS;15H-16H;8.2
100;110;1017;73848;FUNICULAIRE;SAVS;16H-17H;8.9
100;110;1017;73848;FUNICULAIRE;SAVS;1H-2H;0.2
100;110;1017;73848;FUNICULAIRE;SAVS;21H-22H;5.38
100;110;1017;73848;FUNICULAIRE;SAVS;22H-23H;3.43
100;110;1017;73848;FUNICULAIRE;SAVS;7H-8H;0.61
100;110;1017;73848;FUNICULAIRE;SAVS;9H-10H;3.26
100;110;104;73635;BOURSE;DIJFP;0H-1H;1.54
100;110;104;73635;BOURSE;DIJFP;15H-16H;7.49
100;110;104;73635;BOURSE;DIJFP;20H-21H;4.98
100;110;104;73635;BOURSE;JOHV;14H-15H;4.81
100;110;104;73635;BOURSE;JOHV;6H-7H;0.22
100;110;104;73635;BOURSE;JOHV;8H-9H;2.67
100;110;104;73635;BOURSE;JOVS;11H-12H;2.81
100;110;104;73635;BOURSE;JOVS;13H-14H;5.09
100;110;104;73635;BOURSE;JOVS;14H-15H;5.53
100;110;104;73635;BOURSE;JOVS;16H-17H;8.67
100;110;104;73635;BOURSE;JOVS;18H-19H;17.81
100;110;104;73635;BOURSE;JOVS;22H-23H;3.42
100;110;104;73635;BOURSE;JOVS;2H-3H;0.01
100;110;104;73635;BOURSE;JOVS;3H-4H;0.0
100;110;104;73635;BOURSE;SAHV;15H-16H;7.87
100;110;104;73635;BOURSE;SAHV;7H-8H;0.65
100;110;104;73635;BOURSE;SAVS;2H-3H;0.05
100;110;104;73635;BOURSE;SAVS;5H-6H;0.39
100;110;104;73635;BOURSE;SAVS;8H-9H;1.03
100;110;104;73635;BOURSE;SAVS;9H-10H;1.74
100;110;107;73621;BREGUET-SABIN;DIJFP;10H-11H;4.8
100;110;107;73621;BREGUET-SABIN;DIJFP;17H-18H;8.74
100;110;107;73621;BREGUET-SABIN;DIJFP;18H-19H;8.99
100;110;107;73621;BREGUET-SABIN;DIJFP;19H-20H;7.25
100;110;107;73621;BREGUET-SABIN;DIJFP;20H-21H;4.93
100;110;107;73621;BREGUET-SABIN;DIJFP;7H-8H;1.87
100;110;107;73621;BREGUET-SABIN;JOHV;16H-17H;7.27
100;110;107;73621;BREGUET-SABIN;JOHV;6H-7H;0.98
100;110;107;73621;BREGUET-SABIN;JOHV;7H-8H;3.58
100;110;107;73621;BREGUET-SABIN;JOVS;0H-1H;1.42
100;110;107;73621;BREGUET-SABIN;JOVS;14H-15H;5.33
100;110;107;73621;BREGUET-SABIN;JOVS;1H-2H;0.22
100;110;107;73621;BREGUET-SABIN;JOVS;20H-21H;5.08
100;110;107;73621;BREGUET-SABIN;JOVS;3H-4H;0.0
100;110;107;73621;BREGUET-SABIN;SAHV;10H-11H;4.29
100;110;107;73621;BREGUET-SABIN;SAHV;14H-15H;7.18
100;110;107;73621;BREGUET-SABIN;SAVS;14H-15H;6.57
100;110;107;73621;BREGUET-SABIN;SAVS;17H-18H;8.87
100;110;107;73621;BREGUET-SABIN;SAVS;7H-8H;1.71
100;110;1072;69884;CRETEIL-P. LAC;DIJFP;19H-20H;4.49
100;110;1072;69884;CRETEIL-P. LAC;DIJFP;4H-5H;0.01
